Strategy,Simulated_Return
Equal Weight,0.02238031960957555
Equal Weight,0.028952976645754983
Equal Weight,0.0012984296259930155
Equal Weight,0.07220157575353048
Equal Weight,0.024091473004336717
Equal Weight,0.0218121880709351
Equal Weight,0.025894786336980623
Equal Weight,0.02826013517849551
Equal Weight,0.05741640336601992
Equal Weight,0.0025737764136199524
Equal Weight,0.003091112644015337
Equal Weight,-0.009096533916075001
Equal Weight,0.021583224830786316
Equal Weight,-0.0410299989254231
Equal Weight,-0.03606579022149346
Equal Weight,-0.009040448515762942
Equal Weight,0.006649205605328386
Equal Weight,0.056349324480522905
Equal Weight,0.0047046729973906146
Equal Weight,0.03328807587257548
Equal Weight,0.11410720167099914
Equal Weight,0.04831854191676063
Equal Weight,0.04363447836936382
Equal Weight,-0.013537646341126686
Equal Weight,-0.012625636113367202
Equal Weight,0.04834405127708261
Equal Weight,0.04658453918530649
Equal Weight,0.0011262447758607751
Equal Weight,0.019261816236102947
Equal Weight,-0.01562627639806119
Equal Weight,0.03327138256750693
Equal Weight,0.09371903741987597
Equal Weight,0.031871428451974916
Equal Weight,-0.004378494261801704
Equal Weight,0.010642147401084736
Equal Weight,-0.00542687988661429
Equal Weight,-0.01799029762688449
Equal Weight,-0.0018553492221549106
Equal Weight,0.02638502941386859
Equal Weight,0.031607900817431214
Equal Weight,0.028846390551021076
Equal Weight,0.033981180553811295
Equal Weight,-0.0062498743244369884
Equal Weight,0.05476736715587784
Equal Weight,-0.033762059817715614
Equal Weight,0.007836049221061956
Equal Weight,0.038646451003528474
Equal Weight,0.023059858091077856
Equal Weight,0.021311408764262494
Equal Weight,0.05343415165700101
Equal Weight,0.01231248529004832
Equal Weight,-0.02023152898607064
Equal Weight,0.005544740437622687
Equal Weight,-0.025527401714033057
Equal Weight,0.01671307938355696
Equal Weight,0.02715348066857044
Equal Weight,0.01694450817125098
Equal Weight,-0.011616825005850878
Equal Weight,0.009367005372824264
Equal Weight,0.031042289865575813
Equal Weight,0.029673549444966522
Equal Weight,0.04212324187134499
Equal Weight,0.005488423367576975
Equal Weight,-0.005750675434467891
Equal Weight,0.01896490828509149
Equal Weight,0.01654606590403005
Equal Weight,0.06589814691345619
Equal Weight,0.020641267553457878
Equal Weight,0.049673839036969536
Equal Weight,0.039574274826905016
Equal Weight,0.028227035552855426
Equal Weight,-0.0018893410938446015
Equal Weight,0.05095075807039148
Equal Weight,0.025921747773883976
Equal Weight,-0.038126507195672475
Equal Weight,0.007329552706308094
Equal Weight,0.03260635603713572
Equal Weight,0.034929543715109486
Equal Weight,0.011938035897075892
Equal Weight,-0.021450779841174102
Equal Weight,0.04690480757924625
Equal Weight,-0.005794511913140598
Equal Weight,-0.004137104916236623
Equal Weight,0.043852904253501954
Equal Weight,0.051096432421709574
Equal Weight,0.01930660382269006
Equal Weight,-0.0038627090621845108
Equal Weight,0.00041999175073263034
Equal Weight,0.007926813177919722
Equal Weight,0.07253423145423826
Equal Weight,0.03618891914096138
Equal Weight,0.06298037918125568
Equal Weight,-0.029855809487657446
Equal Weight,-0.008631996875248236
Equal Weight,0.020923396900622056
Equal Weight,0.028500802057543538
Equal Weight,-0.011536646174889205
Equal Weight,0.03770862505058999
Equal Weight,-0.011416453142947813
Equal Weight,0.09061826927546288
Equal Weight,-0.03416417475240653
Equal Weight,0.012287458533180817
